Especie;Familia;Nombre común;Genero;Diámetro;Altura;Copa;Riego;Unidades;Código vía
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.12;5;1;NO RIEGO;1;3959
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.27;5;3;NO RIEGO;1;3377
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.16;5;1;NO RIEGO;1;3144
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.16;5;1;NO RIEGO;1;3144
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.18;5;1;NO RIEGO;1;3144
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.18;5;1;NO RIEGO;1;3144
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.18;5;1;NO RIEGO;1;3144
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.25;5;2;NO RIEGO;1;3965
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.27;5;2.5;NO RIEGO;1;3144
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.16;5;1;NO RIEGO;1;3144
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.18;5;1;NO RIEGO;1;3144
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.2;5;1;NO RIEGO;1;3144
Acer_sacharinum;Aceraceae;ARCE PLATEADO;ACER;0.16;5;1;NO RIEGO;1;3144
